Rank,Country,2000,2007,2014,2022
1,Belarus,<5,<5,<5,<5
1,Bosnia & Herzegovina,9.3,6.6,<5,<5
1,Chile,<5,<5,<5,<5
1,China,13.3,7.8,<5,<5
1,Croatia,<5,<5,<5,<5
1,Estonia,<5,<5,<5,<5
1,Hungary,5.5,<5,<5,<5
1,Kuwait,<5,<5,<5,<5
1,Latvia,5.6,<5,<5,<5
1,Lithuania,5.4,<5,<5,<5
1,Montenegro,—,5.4,<5,<5
1,North Macedonia,7.5,7.2,<5,<5
1,Romania,7.9,5.8,5.1,<5
1,Serbia,—,6.1,5.8,<5
1,Slovak Republic,7.0,5.9,5.7,<5
1,Türkiye,10.1,5.8,<5,<5
1,Uruguay,7.4,6.5,<5,<5
18,Costa Rica,7.0,<5,<5,5.3
18,United Arab Emirates,6.2,6.5,5.9,5.3
20,Brazil,11.4,7.1,5.0,5.4
21,Uzbekistan,24.2,15.4,8.3,5.6
22,Georgia,12.3,7.8,6.1,5.7
22,Mongolia,30.0,21.8,9.2,5.7
24,Bulgaria,8.6,7.9,7.4,5.9
24,Kazakhstan,11.2,11.6,5.8,5.9
26,Tunisia,10.3,7.6,6.7,6.1
27,Albania,20.7,15.8,9.2,6.2
28,Russian Federation,10.1,7.1,6.7,6.4
29,Iran (Islamic Republic of),13.7,8.8,7.4,6.5
30,Saudi Arabia,11.0,12.2,7.4,6.7
31,Argentina,6.6,5.5,5.0,6.8
32,Algeria,14.5,11.4,8.7,6.9
32,Armenia,19.3,12.1,7.3,6.9
32,Moldova,18.7,20.3,6.8,6.9
35,Jamaica,8.6,8.1,8.8,7.0
36,Azerbaijan,10.5,8.7,7.5,7.0
36,Colombia,7.4,6.4,6.0,7.0
36,Indonesia,9.2,7.8,6.6,7.0
36,Kyrgyz Republic,11.8,9.5,7.1,7.0
36,Peru,6.9,6.4,5.9,7.0
41,Egypt,14.1,11.5,8.2,7.1
41,Eswatini,20.5,15.6,9.1,7.1
41,Honduras,9.5,7.7,7.3,7.1
41,India,10.6,7.2,6.1,7.1
41,Malaysia,11.6,9.1,7.0,7.1
41,Mexico,9.2,7.7,6.7,7.1
41,Nepal,13.0,10.4,7.7,7.1
41,Nigeria,13.6,10.1,8.0,7.1
41,Pakistan,11.6,8.4,7.3,7.1
41,Philippines,12.1,9.8,6.6,7.1
41,South Africa,9.1,7.7,7.3,7.1
41,Thailand,11.2,8.5,6.5,7.1
41,Venezuela,9.4,9.0,7.1,7.1
54,Angola,15.1,11.4,9.4,7.2
54,Belize,8.5,8.2,7.6,7.2
54,Benin,10.3,8.5,8.3,7.2
54,Bolivia,7.3,7.1,6.7,7.2
54,Cameroon,12.4,10.0,8.4,7.2
54,Chad,15.7,12.0,10.3,7.2
54,Colombia,9.1,7.6,6.7,7.2
54,Congo,12.3,9.9,8.4,7.2
54,Côte d'Ivoire,9.8,8.2,7.7,7.2
54,Democratic Republic of the Congo,10.3,9.4,7.7,7.2
54,El Salvador,7.1,7.1,6.7,7.2
54,Ecuador,6.8,6.8,6.5,7.2
54,Equatorial Guinea,12.7,11.1,8.9,7.2
54,Gabon,14.0,11.3,9.2,7.2
54,Gambia,15.6,13.1,9.9,7.2
54,Ghana,11.0,8.9,7.8,7.2
54,Guatemala,6.9,7.1,6.4,7.2
54,Guinea,9.3,8.1

